filename, language, TypeScript, HTML, CSS, JSON, comment, blank, total
app.component.css, CSS, 0, 0, 0, 0, 0, 1, 1
app.component.html, HTML, 0, 1, 0, 0, 0, 1, 2
app.component.spec.ts, TypeScript, 27, 0, 0, 0, 0, 5, 32
app.component.ts, TypeScript, 9, 0, 0, 0, 0, 2, 11
app.module.ts, TypeScript, 27, 0, 0, 0, 0, 3, 30
components\background\background.component.css, CSS, 0, 0, 0, 0, 0, 1, 1
components\background\background.component.html, HTML, 0, 2, 0, 0, 0, 1, 3
components\background\background.component.spec.ts, TypeScript, 20, 0, 0, 0, 0, 6, 26
components\background\background.component.ts, TypeScript, 32, 0, 0, 0, 0, 8, 40
components\barrack\barrack.component.css, CSS, 0, 0, 25, 0, 0, 6, 31
components\barrack\barrack.component.html, HTML, 0, 12, 0, 0, 0, 1, 13
components\barrack\barrack.component.spec.ts, TypeScript, 20, 0, 0, 0, 0, 6, 26
components\barrack\barrack.component.ts, TypeScript, 120, 0, 0, 0, 2, 23, 145
components\creep\creep.component.css, CSS, 0, 0, 29, 0, 0, 4, 33
components\creep\creep.component.html, HTML, 0, 0, 0, 0, 0, 2, 2
components\creep\creep.component.spec.ts, TypeScript, 20, 0, 0, 0, 0, 6, 26
components\creep\creep.component.ts, TypeScript, 55, 0, 0, 0, 5, 12, 72
components\game\game.component.css, CSS, 0, 0, 0, 0, 0, 1, 1
components\game\game.component.html, HTML, 0, 3, 0, 0, 0, 1, 4
components\game\game.component.spec.ts, TypeScript, 20, 0, 0, 0, 0, 6, 26
components\game\game.component.ts, TypeScript, 13, 0, 0, 0, 0, 3, 16
constants\constants.spec.ts, TypeScript, 6, 0, 0, 0, 0, 2, 8
constants\constants.ts, TypeScript, 2, 0, 0, 0, 0, 1, 3
constants\enums.spec.ts, TypeScript, 6, 0, 0, 0, 0, 2, 8
constants\enums.ts, TypeScript, 5, 0, 0, 0, 0, 1, 6
events\creep-died-event.spec.ts, TypeScript, 6, 0, 0, 0, 0, 2, 8
events\creep-died-event.ts, TypeScript, 5, 0, 0, 0, 0, 2, 7
events\creep-killed-event.spec.ts, TypeScript, 6, 0, 0, 0, 0, 2, 8
events\creep-killed-event.ts, TypeScript, 6, 0, 0, 0, 0, 2, 8
events\creep-shot-event.spec.ts, TypeScript, 6, 0, 0, 0, 0, 2, 8
events\creep-shot-event.ts, TypeScript, 5, 0, 0, 0, 0, 2, 7
events\custom-event-emitter.spec.ts, TypeScript, 6, 0, 0, 0, 0, 2, 8
events\custom-event-emitter.ts, TypeScript, 7, 0, 0, 0, 0, 3, 10
events\draw-event.spec.ts, TypeScript, 6, 0, 0, 0, 0, 2, 8
events\draw-event.ts, TypeScript, 3, 0, 0, 0, 0, 1, 4
events\icreep-event.spec.ts, TypeScript, 6, 0, 0, 0, 0, 2, 8
events\icreep-event.ts, TypeScript, 4, 0, 0, 0, 0, 2, 6
models\barrack.ts, TypeScript, 6, 0, 0, 0, 0, 2, 8
models\creeps\archer.spec.ts, TypeScript, 6, 0, 0, 0, 0, 2, 8
models\creeps\archer.ts, TypeScript, 14, 0, 0, 0, 0, 3, 17
models\creeps\basher.spec.ts, TypeScript, 6, 0, 0, 0, 0, 2, 8
models\creeps\basher.ts, TypeScript, 14, 0, 0, 0, 0, 3, 17
models\creeps\creep-base.spec.ts, TypeScript, 6, 0, 0, 0, 0, 2, 8
models\creeps\creep-base.ts, TypeScript, 39, 0, 0, 0, 0, 6, 45
models\data.json, JSON, 0, 0, 0, 0, 0, 1, 1
models\icoords.ts, TypeScript, 4, 0, 0, 0, 0, 1, 5
models\icreep.ts, TypeScript, 20, 0, 0, 0, 0, 3, 23
models\istats.ts, TypeScript, 8, 0, 0, 0, 0, 1, 9
models\user.ts, TypeScript, 15, 0, 0, 0, 0, 1, 16
pipes\pipes.module.ts, TypeScript, 13, 0, 0, 0, 0, 2, 15
pipes\player.pipe.spec.ts, TypeScript, 7, 0, 0, 0, 0, 2, 9
pipes\player.pipe.ts, TypeScript, 18, 0, 0, 0, 0, 4, 22
services\engine.service.spec.ts, TypeScript, 9, 0, 0, 0, 0, 4, 13
services\engine.service.ts, TypeScript, 158, 0, 0, 0, 8, 22, 188
services\eventmanager.service.spec.ts, TypeScript, 9, 0, 0, 0, 0, 4, 13
services\eventmanager.service.ts, TypeScript, 18, 0, 0, 0, 0, 3, 21
services\render.service.spec.ts, TypeScript, 9, 0, 0, 0, 0, 4, 13
services\render.service.ts, TypeScript, 24, 0, 0, 0, 0, 7, 31
Total, -, 851, 18, 54, 0, 15, 208, 1146
